iri,label,domain,obo_id
http://purl.allotrope.org/ontologies/result#AFR_0001980,assay comment,result,AFO_result#AFR:0001980
http://purl.allotrope.org/ontologies/result#AFR_0001982,sample weight,result,AFO_result#AFR:0001982
http://purl.allotrope.org/ontologies/result#AFR_0001983,peak onset temperature,result,AFO_result#AFR:0001983
http://purl.allotrope.org/ontologies/result#AFR_0001984,peak temperature,result,AFO_result#AFR:0001984
http://purl.allotrope.org/ontologies/result#AFR_0001985,weight loss,result,AFO_result#AFR:0001985
http://purl.allotrope.org/ontologies/result#AFR_0001986,balance identifier,result,AFO_result#AFR:0001986
http://purl.allotrope.org/ontologies/result#AFR_0001987,container type,result,AFO_result#AFR:0001987
http://purl.allotrope.org/ontologies/result#AFR_0001988,glass transition temperature,result,AFO_result#AFR:0001988
http://purl.allotrope.org/ontologies/result#AFR_0001989,heat capacity (dsc),result,AFO_result#AFR:0001989
http://purl.allotrope.org/ontologies/result#AFR_0001990,transition enthalpy,result,AFO_result#AFR:0001990
http://purl.allotrope.org/ontologies/result#AFR_0001991,conformance assessment,result,AFO_result#AFR:0001991
http://purl.allotrope.org/ontologies/result#AFR_0001992,reference identifier,result,AFO_result#AFR:0001992
http://purl.allotrope.org/ontologies/result#AFR_0001993,container state description,result,AFO_result#AFR:0001993
http://purl.allotrope.org/ontologies/result#AFR_0001995,transition assignment,result,AFO_result#AFR:0001995
http://purl.allotrope.org/ontologies/result#AFR_0001997,cell path length,result,AFO_result#AFR:0001997
http://purl.allotrope.org/ontologies/result#AFR_0002001,chromatography data system method,result,AFO_result#AFR:0002001
http://purl.allotrope.org/ontologies/result#AFR_0002002,measurement device identifier,result,AFO_result#AFR:0002002
http://purl.allotrope.org/ontologies/result#AFR_0002003,measurement method identifier,result,AFO_result#AFR:0002003
http://purl.allotrope.org/ontologies/result#AFR_0002006,molar concentration,result,AFO_result#AFR:0002006
http://purl.allotrope.org/ontologies/result#AFR_0002008,reference,result,AFO_result#AFR:0002008
http://purl.allotrope.org/ontologies/result#AFR_0002009,experiment identifier,result,AFO_result#AFR:0002009
http://purl.allotrope.org/ontologies/result#AFR_0002010,experimental data,result,AFO_result#AFR:0002010
http://purl.allotrope.org/ontologies/result#AFR_0002011,experiment result,result,AFO_result#AFR:0002011
http://purl.allotrope.org/ontologies/result#AFR_0002013,thermal analysis peak,result,AFO_result#AFR:0002013
http://purl.allotrope.org/ontologies/result#AFR_0002014,thermal analysis peak facet,result,AFO_result#AFR:0002014
http://purl.allotrope.org/ontologies/result#AFR_0002016,device method identifier,result,AFO_result#AFR:0002016
http://purl.allotrope.org/ontologies/result#AFR_0002017,comment,result,AFO_result#AFR:0002017
http://purl.allotrope.org/ontologies/result#AFR_0002018,device identifier,result,AFO_result#AFR:0002018
http://purl.allotrope.org/ontologies/result#AFR_0002019,assay data identifier,result,AFO_result#AFR:0002019
http://purl.allotrope.org/ontologies/result#AFR_0002020,assay data,result,AFO_result#AFR:0002020
http://purl.allotrope.org/ontologies/result#AFR_0002021,enthalpy,result,AFO_result#AFR:0002021
http://purl.allotrope.org/ontologies/result#AFR_0002022,heat capacity,result,AFO_result#AFR:0002022
http://purl.allotrope.org/ontologies/result#AFR_0002023,state facet,result,AFO_result#AFR:0002023
http://purl.allotrope.org/ontologies/result#AFR_0002024,column brand name,result,AFO_result#AFR:0002024
http://purl.allotrope.org/ontologies/result#AFR_0002026,chromatography column chemistry type,result,AFO_result#AFR:0002026
http://purl.allotrope.org/ontologies/result#AFR_0002027,particle size,result,AFO_result#AFR:0002027
http://purl.allotrope.org/ontologies/result#AFR_0002029,chromatography column length,result,AFO_result#AFR:0002029
http://purl.allotrope.org/ontologies/result#AFR_0002030,column inner diameter,result,AFO_result#AFR:0002030
http://purl.allotrope.org/ontologies/result#AFR_0002031,content specification,result,AFO_result#AFR:0002031
http://purl.allotrope.org/ontologies/result#AFR_0002033,temporal index,result,AFO_result#AFR:0002033
http://purl.allotrope.org/ontologies/result#AFR_0002034,method identifier,result,AFO_result#AFR:0002034
http://purl.allotrope.org/ontologies/result#AFR_0002035,measurement method,result,AFO_result#AFR:0002035
