source_page,edge_type,target_url,pillar,anchor
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/ProFlex_PCR/v1.3.4_update/ProFlex-firmware-134-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/firmware/ProFlex-1.3.3/ProFlex-1.3.3.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/firmware/ProFlex-1.3.3/ProFlex-firmware-133-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/firmware/ProFlex-1.3.2.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/ProFlex_PCR/v1.3.2/ProFlex-firmware-132-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/firmware/ProFlex-1.2.1/ProFlex-1.2.1.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/firmware/ProFlex-1.2.1/ProFlex-firmware-121-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/firmware/ProFlex-1.2.0/ProFlex-1.2.0.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/firmware/ProFlex-1.2.0/ProFlex-firmware-120-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/firmware/ProFlex%20-1-1-5/ProFlex-1.1.5.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/Instrument_Software/ProFlex%20PCR/firmware/v1.1.4/ProFlex-1.1.4.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/Instrument_Software/ProFlex%20PCR/firmware/v1.1.3/ProFlex-1.1.3.update,P2,Download
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/proflex-pcr-system.html,has_driver,https://downloads.thermofisher.com/ProFlex_PCR/v2.2.3_update/ProFlex-firmware-223-release-notes.docx,P2,Release notes
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,runs,https://www.thermofisher.com/content/lifetech/latin-america/en/home/life-science/pcr/real-time-pcr/real-time-pcr-assays.html,P3,TaqMan Real-Time PCR Assays
https://www.thermofisher.com/us/en/home/technical-resources/software-downloads/simpliAmp-thermal-cycler.html,has_driver,https://www.thermofisher.com/th/en/home/technical-resources/software-downloads.html,P2,Software Downloads
